dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
283996800,1979-01-01 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,26.29,,23.58,22.12,25.34,27.09,1031,,,88,3.51,234,,,,,,91,804,Clouds,overcast clouds,04d
284000400,1979-01-01 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.09,,23.88,23.67,26.2,28.08,1032,,,86,3.06,231,,,,,,79,803,Clouds,broken clouds,04d
284004000,1979-01-01 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.7,,23.99,27.7,26.71,28.81,1033,,,84,2.68,223,,,,,,55,803,Clouds,broken clouds,04d
284007600,1979-01-01 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.31,,28.63,40.24,41.59,43.3,1032,,,57,3.71,218,,,,,,53,803,Clouds,broken clouds,04d
284011200,1979-01-01 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.17,,28.51,39.56,41.54,43.21,1031,,,57,4.32,209,,,,,,46,802,Clouds,scattered clouds,03d
284014800,1979-01-01 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.3,,28.99,39.02,41.68,43.32,1030,,,58,5.21,202,,,,,,9,800,Clear,sky is clear,01d
284018400,1979-01-01 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.71,,28.96,39.29,42.26,43.7,1029,,,57,5.53,200,,,,,,0,800,Clear,sky is clear,01d
284022000,1979-01-01 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.76,,29.01,39.45,42.42,43.68,1029,,,57,5.39,201,,,,,,0,800,Clear,sky is clear,01d
284025600,1979-01-01 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.73,,28.98,39.58,42.26,43.57,1028,,,57,5.14,196,,,,,,0,800,Clear,sky is clear,01d
284029200,1979-01-01 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,38.44,,31.03,34.63,37.67,39.69,1029,,,74,5.01,181,,,,,,0,800,Clear,sky is clear,01d
284032800,1979-01-01 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.14,,28.85,27.23,31.17,33.57,1028,,,86,5.01,180,,,,,,0,800,Clear,sky is clear,01n
284036400,1979-01-01 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,31.95,,28.67,27.19,31.01,32.99,1029,,,86,4.81,188,,,,,,0,800,Clear,sky is clear,01n
284040000,1979-01-01 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.43,,29.1,27.68,31.62,33.17,1029,,,86,4.9,192,,,,,,0,800,Clear,sky is clear,01n
284043600,1979-01-01 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.27,,28.96,27.09,31.73,32.88,1030,,,86,5.35,194,,,,,,0,800,Clear,sky is clear,01n
284047200,1979-01-01 14:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.74,,29.37,27.86,32.02,33.44,1030,,,86,5.1,194,,,,,,0,800,Clear,sky is clear,01n
284050800,1979-01-01 15:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,28.33,,26.55,23,27.1,29.43,1030,,,92,4.76,195,,,,,,0,800,Clear,sky is clear,01n
